Name	Popularity	Year
Our Song	61.0	2006.0
Rosa Pastel	61.0	2006.0
Enjoy the Silence	58.0	2006.0
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version"	58.0	2006.0
Por Ti	57.0	2006.0
The Scientist	83.0	2002.0
She Will Be Loved - Radio Mix	80.0	2002.0
Complicated	77.0	2002.0
A Thousand Miles	76.0	2002.0
This Love	76.0	2002.0
Clocks	75.0	2002.0
Cry Me a River	74.0	2002.0
In My Place	70.0	2002.0
Mad World (Feat. Michael Andrews)	70.0	2002.0
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix	65.0	2002.0
Toxic	78.0	2003.0
I'm Gonna Be (500 Miles)	74.0	2003.0
Stacy's Mom	73.0	2003.0
Crazy In Love (feat. Jay-Z)	69.0	2003.0
All Out of Love	64.0	2003.0
Go West - 2003 Remaster	63.0	2003.0
12:51	61.0	2003.0
Tell It to My Heart	56.0	2003.0
Tus Ojos	56.0	2003.0
Come Clean	55.0	2003.0
Fix You	81.0	2005.0
Hey There Delilah	80.0	2005.0
Hips Don't Lie (feat. Wyclef Jean)	80.0	2005.0
Bad Day	76.0	2005.0
Ridin'	69.0	2005.0
Ni Tú Ni Nadie	68.0	2005.0
Don't Cha	66.0	2005.0
Just the Girl	59.0	2005.0
God Is a DJ	57.0	2005.0
Hard to Say I'm Sorry / Get Away - 2005 Remaster	49.0	2005.0
Thunderstruck	81.0	1990.0
Cherry Pie	62.5	1990.0
I Promised Myself	61.0	1990.0
The Power	59.0	1990.0
Such a Shame	57.0	1990.0
Vogue - Edit	51.0	1990.0
Always The Sun - Sunny Side Up Mix	50.0	1990.0
World In My Eyes - 2006 Remastered Version	49.0	1990.0
Manic Monday	48.0	1990.0
"""This Is Seagull…."""	34.0	1990.0
Yeah! (feat. Lil Jon & Ludacris)	79.0	2004.0
American Idiot	78.0	2004.0
Unwritten	76.0	2004.0
Take Me Out	73.0	2004.0
Beautiful Soul	72.0	2004.0
Because of You	71.0	2004.0
Somebody Told Me	69.0	2004.0
Since U Been Gone	68.0	2004.0
Walk Like an Egyptian	63.0	2004.0
Breakaway	61.0	2004.0
Fast Car	77.0	1988.0
Listen to Your Heart	75.0	1988.0
The Look	72.0	1988.0
A Little Respect - 2009 Remastered Version	69.0	1988.0
The Promise	63.0	1988.0
Headhunter V1.0	42.0	1988.0
Voice of Chunk	35.0	1988.0
Perfect Machine	12.0	1988.0
Running	0.0	1988.0
I Want to Know What Love Is - 1999 Remaster	77.0	1984.0
Can't Fight This Feeling	73.0	1984.0
We're Not Gonna Take It	73.0	1984.0
